Name,Album,Artist,Spotify Link
Sandalee,Sema (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/75sjXeV1gvbSUhptK16P9u
Aathi,Kaththi (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/0KSyqMfLSkElsnT25mQc2i
"Nanbiye - From ""Teddy""","Nanbiye (From ""Teddy"")",Anirudh Ravichander,https://open.spotify.com/track/1AdLxSuPIZRsIp7IM743dE
Kadhaippoma,Oh My Kadavule (Original Motion Picture Soundtrack),Leon James,https://open.spotify.com/track/2CZGdpVV9OU1TslQMvovj5
High On Love,"High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)",Yuvan Shankar Raja,https://open.spotify.com/track/6kekHWEQ4SyMe5EjYAlveP
Google Google,Thuppakki (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/2AIxrjoVCWUPe0n1vTDJhv
Kadhal Cricket - Love (Not Out),Thani Oruvan (Original Motion Picture Soundtrack),Hiphop Tamizha,https://open.spotify.com/track/2M8ic65G0VLkS6nEY53Uex
Oxygen,Kavan (Original Motion Picture Soundtrack),Hiphop Tamizha,https://open.spotify.com/track/4mDf0LNDfzT8w7S2nfix3m
Saarattu Vandiyila,Kaatru Veliyidai (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/42ON67EVCaJpihkP2U38n7
Dandanakka,Romeo Juliet (Original Motion Picture Soundtrack),D. Imman,https://open.spotify.com/track/7HWiw6fOuuaiu6Rfycl2MK
Adiyae Ivalaey,Romeo Juliet (Original Motion Picture Soundtrack),D. Imman,https://open.spotify.com/track/2qWtVodJgQ6HtLgNuAK8Nb
Thoovaanam,Romeo Juliet (Original Motion Picture Soundtrack),D. Imman,https://open.spotify.com/track/0249Wjt2twxjF96oTWgnkr
Aaniyae Pudunga Venandaa,Wagah (Original Motion Picture Soundtrack),D. Imman,https://open.spotify.com/track/20NRs4e7jVSOONAN9HDjw2
